,Unnamed: 0,region_1,date,retail_recreation,grocery_pharmacy,parks,transit,workplaces,residential,s_d_score
0,16900,Alberta,2020-02-15,95.89041095890411,60.56338028169014,37.68844221105528,100.0,90.47619047619047,2.941176470588237,94.85657453212627
1,16901,Alberta,2020-02-16,100.0,53.52112676056338,39.698492462311556,95.23809523809526,89.28571428571429,0.0,92.45278037051466
2,16902,Alberta,2020-02-17,76.71232876712331,53.52112676056338,30.653266331658298,44.04761904761905,13.095238095238093,49.99999999999999,52.26250680739039
3,16903,Alberta,2020-02-18,84.93150684931507,57.746478873239425,24.623115577889447,80.95238095238095,86.90476190476191,11.76470588235294,80.57186092653389
4,16904,Alberta,2020-02-19,90.41095890410958,61.97183098591549,36.18090452261307,83.33333333333334,91.66666666666667,8.823529411764703,90.13753677733028
5,16905,Alberta,2020-02-20,95.89041095890411,69.01408450704224,31.155778894472363,84.52380952380953,91.66666666666667,5.8823529411764675,92.56320288845498
6,16906,Alberta,2020-02-21,89.04109589041097,60.56338028169014,34.67336683417086,90.47619047619048,95.23809523809523,5.8823529411764675,91.084707749469
7,16907,Alberta,2020-02-22,97.26027397260275,66.19718309859154,35.175879396984925,96.42857142857144,98.8095238095238,2.941176470588237,97.83244695192636
8,16908,Alberta,2020-02-23,91.78082191780823,60.56338028169014,29.64824120603015,91.66666666666667,96.42857142857142,5.8823529411764675,90.25755844370732
9,16909,Alberta,2020-02-24,84.93150684931507,57.746478873239425,26.13065326633166,95.23809523809526,97.61904761904762,5.8823529411764675,87.0677768144243
10,16910,Alberta,2020-02-25,89.04109589041097,60.56338028169014,32.1608040201005,94.04761904761905,98.8095238095238,5.8823529411764675,91.75148135076732
11,16911,Alberta,2020-02-26,93.15068493150685,66.19718309859154,29.64824120603015,92.85714285714286,98.8095238095238,2.941176470588237,93.7758088746775
12,16912,Alberta,2020-02-27,95.89041095890411,70.42253521126759,32.1608040201005,92.85714285714286,95.23809523809523,5.8823529411764675,96.29311708867932
13,16913,Alberta,2020-02-28,97.26027397260275,71.83098591549295,32.1608040201005,98.80952380952382,97.61904761904762,2.941176470588237,99.1190834846255
14,16914,Alberta,2020-02-29,93.15068493150685,66.19718309859154,29.64824120603015,96.42857142857144,98.8095238095238,5.8823529411764675,94.55635531397975
15,16915,Alberta,2020-03-01,97.26027397260275,70.42253521126759,32.1608040201005,96.42857142857144,97.61904761904762,2.941176470588237,98.02104831817056
16,16916,Alberta,2020-03-02,91.78082191780823,66.19718309859154,27.1356783919598,92.85714285714286,98.8095238095238,5.8823529411764675,92.4085895401995
17,16917,Alberta,2020-03-03,93.15068493150685,69.01408450704224,32.1608040201005,91.66666666666667,98.8095238095238,5.8823529411764675,95.70292643227617
18,16918,Alberta,2020-03-04,91.78082191780823,66.19718309859154,27.638190954773872,91.66666666666667,98.8095238095238,5.8823529411764675,92.35479898513726
19,16919,Alberta,2020-03-05,94.5205479452055,69.01408450704224,26.633165829145728,91.66666666666667,97.61904761904762,5.8823529411764675,93.4618185985196
20,16920,Alberta,2020-03-06,91.78082191780823,69.01408450704224,30.15075376884422,95.23809523809526,100.0,5.8823529411764675,95.62870683475738
21,16921,Alberta,2020-03-07,83.56164383561644,59.15492957746478,20.100502512562816,84.52380952380953,96.42857142857142,11.76470588235294,82.18578618973834
22,16922,Alberta,2020-03-08,84.93150684931507,60.56338028169014,20.603015075376884,86.90476190476191,95.23809523809523,8.823529411764703,83.51941261889881
23,16923,Alberta,2020-03-09,89.04109589041097,66.19718309859154,33.66834170854271,90.47619047619048,97.61904761904762,5.8823529411764675,93.59473147364261
24,16924,Alberta,2020-03-10,89.04109589041097,63.38028169014084,30.15075376884422,86.90476190476191,97.61904761904762,8.823529411764703,90.2141021475639
25,16925,Alberta,2020-03-11,90.41095890410958,71.83098591549295,33.66834170854271,85.71428571428574,97.61904761904762,8.823529411764703,95.19994775987219
26,16926,Alberta,2020-03-12,91.78082191780823,97.18309859154928,22.613065326633166,82.14285714285714,95.23809523809523,8.823529411764703,100.0
27,16927,Alberta,2020-03-13,75.34246575342466,98.59154929577464,11.557788944723619,71.42857142857144,89.28571428571429,20.588235294117645,88.1419714826486
28,16928,Alberta,2020-03-14,60.27397260273973,73.2394366197183,3.0150753768844236,60.71428571428572,86.90476190476191,26.470588235294112,67.5936008204817
29,16929,Alberta,2020-03-15,61.64383561643836,69.01408450704224,11.557788944723619,61.90476190476192,84.52380952380953,20.588235294117645,69.35256536452535
30,16930,Alberta,2020-03-16,71.23287671232877,100.0,19.09547738693467,45.23809523809524,66.66666666666667,32.35294117647059,79.27055245298996
31,16931,Alberta,2020-03-17,57.53424657534247,80.28169014084506,19.597989949748744,38.0952380952381,58.333333333333336,44.11764705882353,64.33341321535889
32,16932,Alberta,2020-03-18,43.835616438356176,71.83098591549295,13.5678391959799,29.761904761904766,51.1904761904762,52.941176470588225,51.38042983843911
33,16933,Alberta,2020-03-19,38.356164383561655,60.56338028169014,11.557788944723619,25.000000000000007,46.42857142857144,58.823529411764696,42.327475562905654
34,16934,Alberta,2020-03-20,34.24657534246576,61.97183098591549,21.105527638190956,28.571428571428577,45.23809523809524,61.76470588235294,46.29528727271825
35,16935,Alberta,2020-03-21,23.28767123287672,43.66197183098591,29.64824120603015,35.71428571428572,57.14285714285714,44.11764705882353,44.233841889916654
36,16936,Alberta,2020-03-22,19.178082191780828,26.76056338028169,33.66834170854271,30.95238095238096,52.38095238095239,38.23529411764705,35.682164594116976
